instance,predicted_algo,
1-FullIns_3.col,dsatur, 
1-FullIns_4.col,dsatur, 
1-FullIns_5.col,dsatur, 
1-Insertions_4.col,dsatur, 
1-Insertions_5.col,dsatur, 
1-Insertions_6.col,dsatur, 
2-FullIns_3.col,dsatur, 
2-FullIns_4.col,dsatur, 
2-FullIns_5.col,dsatur, 
2-Insertions_3.col,dsatur, 
2-Insertions_4.col,dsatur, 
2-Insertions_5.col,dsatur, 
3-FullIns_3.col,dsatur, 
3-FullIns_4.col,dsatur, 
3-FullIns_5.col,dsatur, 
3-Insertions_3.col,dsatur, 
3-Insertions_4.col,dsatur, 
3-Insertions_5.col,dsatur, 
4-FullIns_3.col,dsatur, 
4-FullIns_4.col,dsatur, 
4-FullIns_5.col,dsatur, 
4-Insertions_3.col,dsatur, 
4-Insertions_4.col,dsatur, 
5-FullIns_3.col,dsatur, 
5-FullIns_4.col,dsatur, 
C2000.5.col,dsatur, 
C2000.9.col,min_width, 
C4000.5.col,min_width, 
DSJC1000.1.col,dsatur, 
DSJC1000.5.col,dsatur, 
DSJC1000.9.col,dsatur, 
DSJC125.1.col,dsatur, 
DSJC125.5.col,max_degree, 
DSJC125.9.col,max_degree, 
DSJC250.1.col,dsatur, 
DSJC250.5.col,max_degree, 
DSJC250.9.col,max_degree, 
DSJC500.1.col,dsatur, 
DSJC500.5.col,max_degree, 
DSJC500.9.col,dsatur, 
DSJR500.1.col,dsatur, 
DSJR500.1c.col,dsatur, 
DSJR500.5.col,max_degree, 
abb313GPIA.col,max_degree, 
anna.col,dsatur, 
ash331GPIA.col,dsatur, 
ash608GPIA.col,dsatur, 
ash958GPIA.col,dsatur, 
david.col,dsatur, 
flat1000_50_0.col,dsatur, 
flat1000_60_0.col,dsatur, 
flat1000_76_0.col,dsatur, 
flat300_20_0.col,max_degree, 
flat300_26_0.col,max_degree, 
flat300_28_0.col,max_degree, 
fpsol2.i.1.col,dsatur, 
fpsol2.i.2.col,dsatur, 
fpsol2.i.3.col,dsatur, 
games120.col,dsatur, 
homer.col,dsatur, 
huck.col,dsatur, 
inithx.i.1.col,dsatur, 
inithx.i.2.col,dsatur, 
inithx.i.3.col,max_degree, 
jean.col,dsatur, 
latin_square_10.col,dsatur, 
le450_15a.col,dsatur, 
le450_15b.col,dsatur, 
le450_15c.col,dsatur, 
le450_15d.col,dsatur, 
le450_25a.col,dsatur, 
le450_25b.col,dsatur, 
le450_25c.col,max_degree, 
le450_25d.col,max_degree, 
le450_5a.col,dsatur, 
le450_5b.col,dsatur, 
le450_5c.col,dsatur, 
le450_5d.col,dsatur, 
miles1000.col,max_degree, 
miles1500.col,max_degree, 
miles250.col,dsatur, 
miles500.col,dsatur, 
miles750.col,dsatur, 
mug100_1.col,dsatur, 
mug100_25.col,dsatur, 
mug88_1.col,dsatur, 
mug88_25.col,dsatur, 
mulsol.i.1.col,dsatur, 
mulsol.i.2.col,dsatur, 
mulsol.i.3.col,dsatur, 
mulsol.i.4.col,dsatur, 
mulsol.i.5.col,dsatur, 
myciel3.col,dsatur, 
myciel4.col,dsatur, 
myciel5.col,dsatur, 
myciel6.col,dsatur, 
myciel7.col,dsatur, 
qg.order100.col,max_degree, 
qg.order30.col,max_degree, 
qg.order40.col,max_degree, 
qg.order60.col,max_degree, 
queen10_10.col,dsatur, 
queen11_11.col,dsatur, 
queen12_12.col,dsatur, 
queen13_13.col,dsatur, 
queen14_14.col,dsatur, 
queen15_15.col,dsatur, 
queen16_16.col,dsatur, 
queen5_5.col,dsatur, 
queen6_6.col,dsatur, 
queen7_7.col,dsatur, 
queen8_12.col,dsatur, 
queen8_8.col,dsatur, 
queen9_9.col,dsatur, 
r1000.1.col,dsatur, 
r1000.1c.col,dsatur, 
r1000.5.col,min_width, 
r125.1.col,dsatur, 
r125.1c.col,max_degree, 
r125.5.col,max_degree, 
r250.1.col,dsatur, 
r250.1c.col,max_degree, 
r250.5.col,max_degree, 
school1.col,max_degree, 
school1_nsh.col,max_degree, 
wap01a.col,max_degree, 
wap02a.col,max_degree, 
wap03a.col,max_degree, 
wap04a.col,max_degree, 
wap05a.col,max_degree, 
wap06a.col,max_degree, 
wap07a.col,max_degree, 
wap08a.col,max_degree, 
will199GPIA.col,dsatur, 
zeroin.i.1.col,dsatur, 
zeroin.i.2.col,dsatur, 
zeroin.i.3.col,dsatur, 
