feature,threshold
36,2.0
35,195.15789473684208
11,2.0
0,0.9881214779999999
34,3.8434610032105265
25,7.0
15,0.0
33,0.8660155043157892
22,221.62375623157865
4,1.3271853078421052
37,0.0
12,0.0
10,0.0
37,83.80830424631559
19,34.99739499421054
20,119.3157894736842
22,34.28656826210527
36,1.0
16,6352.0
19,105.55112220000001
35,4606.736842105263
6,1.0
27,6.657100278736841
25,10.0
10,352.0
12,5.164736842105257
13,22317681.0
35,80.15789473684207
6,0.0
21,3.0
15,1.2584210526315793
21,1.0
7,0.48496994600000004
1,0.5
5,0.0
25,9.0
31,2.0
7,0.27529431705263085
20,753.0
7,0.19164039257894708
8,1.320402102
18,147912.63157894733
36,2.0
6,0.0
17,12293.78947368421
1,1.0
15,0.0
10,10.0
9,2.52
13,136243.73684210525
19,4.826086957
12,0.0
16,15215.999999999998
22,44.60525965473684
17,128954.0
15,0.0
34,14.609019518947349
28,1.6497029501052631
7,0.0
2,0.9248731288947368
14,1.0
18,55030.05263157895
33,0.5549098124736842
11,0.0
8,0.5720788242631578
33,0.7273502863157895
17,102922.36842105258
12,2.42
2,0.6830663444210525
19,723.3472864105265
9,2.31
28,7.624159255
23,2.7261868864736845
0,0.21347559331578947
18,800.0
26,4.31523797852631
34,1.0
29,6925.052631578947
2,0.0
25,4.0
14,1.0
22,61.94192876368422
19,76.28573975999998
22,0.0
27,0.4516996548947368
17,1318.0526315789473
37,5.227662883052631
2,0.5486516369473684
28,2.7338727807894734
19,101.34631578947366
4,0.536679447
21,837.0
20,362.68421052631584
34,3.074985354
8,0.693147181
13,0.0
20,26.0
20,890.2631578947364
15,0.0
13,476923.7894736834
18,4754.0
17,4575.8421052631575
11,1.0
34,1.0
24,0.36798997289473684
35,35.473684210526315
19,278.4077406368416
0,0.49997475442105266
32,302.4390318263154
3,0.21021625800000002
17,63719.684210526306
19,10.36664185
21,67.0
11,1.0
25,47.0
14,1.0
23,5.44047262131579
13,5049.578947368421
9,3.8478947368421044
