instance,balance-hard,balance-soft,balance-hard-mean,balance-hard-max,balance-hard-min,balance-hard-std,balance-hard-entropy,balance-soft-mean,balance-soft-max,balance-soft-min,balance-soft-std,balance-soft-entropy,nhard_len_stats.ave,nhard_len_stats.max,nhard_len_stats.min,nhard_len_stats.stddev,nhards,nsoft_len_stats.ave,nsoft_len_stats.max,nsoft_len_stats.min,nsoft_len_stats.stddev,nsoft_wts,nsofts,soft_wt_stats.ave,soft_wt_stats.max,soft_wt_stats.min,soft_wt_stats.stddev,ncls,nvars,VG-mean,VG-max,VG-min,VG-std,VG-entropy,VCG_C-entropy,VCG_C-max,VCG_C-mean,VCG_C-min,VCG_C-std,VCG_V-entropy,VCG_V-max,VCG_V-mean,VCG_V-min,VCG_V-std,Horn-fraction,Horn-V-mean,Horn-V-max,Horn-V-min,Horn-V-std
min-fill/MinFill_R3_miles1000.wcnf.gz,0.597545532,1.0,0.584729736,1.0,0.0,0.205779767,1.959644709,1.0,1,1,0.0,0.0,3.87,9,1,1.52,1157254,1.0,1,1,0.0,1,4522,1,1,1,0,1161776,122896,65.86964588,1108,1,138.4369281,3.102246595,1.268698445,9,3.857807357,1,1.527110353,3.0163674960000004,738,36.46911209,1,86.03201274,0.587883551,17.23796543,492,1,45.58881166
pseudoBoolean/primes-dimacs-cnf/normalized-par32-2.opb.msat.wcnf.gz,0.214533405,1.0,0.279971791,1.0,0.0,0.448985064,0.592926673,1.0,1,1,0.0,0.0,2.29,3,1,0.69,11344,1.0,1,1,0.0,1,6352,1,1,1,0,17696,6352,6.965680101,158,1,12.49665269,1.7273976119999999,1.070526255,3,1.8256103069999998,1,0.830852624,1.657369848,80,5.085957178999999,2,6.255590288,0.582730561,2.0,2,2,0.0
SeanSafarpour/rsdecoder-problem.dimacs_38.filtered.wcnf.gz,0.0,0.50543157,0.0,0.0,0.0,0.0,0.0,0.505742403,1,0,0.18259609100000002,1.301172774,0.0,0,0,0.0,0,2.57,4,1,0.5,1,3865513,1,1,1,0,3865513,1198007,6.110462627,1497,2,19.97236719,1.5435665019999998,0.70722787,4,2.571394534,1,0.503331995,1.9075812230000002,1995,8.296912288,2,28.20345002,0.67145732,5.167364631,999,2,15.34091987
close_solutions/SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug6_q0.used-as.sat04-725.cnf.wcnf.7.wcnf.gz,0.6497401429999999,0.968197702,0.8968010340000001,1.0,0.0,0.204166583,0.859007973,0.968197702,1,0,0.17547339399999998,0.140952374,2.97,352,1,8.79,4671353,1.0,1,1,0.0,1,138795,1,1,1,0,4810148,138795,163.66264630000003,13241,3,518.2310535,3.908015176,0.6783370240000001,352,2.914005349,1,8.670960881000001,3.663682436,14249,100.9892071,3,443.73830589999994,0.9604758520000001,69.90333946,7131,1,228.3201244
extension-enforcement/extension-enforcement_non-strict_stb_200_0.05_3_10_0.wcnf.gz,0.639719626,0.9510025059999999,0.674349125,1.0,0.0,0.209527358,1.056103663,0.9510025059999999,1,0,0.21586277899999998,0.195552778,2.74,201,2,7.12,148390,1.0,1,1,0.0,1,39900,1,1,1,0,188290,76190,105.55112220000001,968,2,108.3295886,0.9380210940000001,1.069453853,201,2.371342079,1,6.3574444560000005,0.25002931300000003,780,5.860349127,2,38.70852070000001,0.998990918,5.359102244,779,2,38.68648489
railway-transport/we.wcnf.gz,0.41517664299999996,1.0,0.41720165200000003,1.0,0.0,0.152956962,1.3841586959999999,1.0,1,1,0.0,0.0,3.72,5,2,0.65,6939377,1.0,1,1,0.0,1,18170,1,1,1,0,6957547,280446,111.9373783,673,6,64.46553175,4.934686949,0.907479796,5,3.715699944,1,0.664481667,4.688093703,462,92.18229891,3,53.49207643,0.127692993,7.926228222000001,223,1,7.574914793
maxcut/dimacs_mod/MANN_a27.clq.wcnf.gz,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0.5,0.693147181,0.0,0,0,0.0,0,2.0,2,2,0.0,1,1690,1,1,1,0,1690,42,41.23809524,42,32,1.615542424,0.931381978,0.0,2,2.0,2,0.0,0.931381978,82,80.47619048,62,3.231084848,0.5,40.23809524,41,31,1.615542424
des/cnf.19.p.7.wcnf.gz,0.6233508170000001,1.0,0.686976558,1.0,0.0,0.29917035,1.224833703,1.0,1,1,0.0,0.0,2.31,7,1,0.83,524436,1.0,1,1,0.0,1,6360,1,1,1,0,530796,117382,10.39547801,26,3,6.263124007,2.290906031,0.8284128470000001,7,2.292134831,1,0.8400883029999999,2.116274031,32,10.36492818,4,6.696041827999999,0.781901145,6.918590585,26,2,5.227705947
des/cnf.19.p.9.wcnf.gz,0.623342842,1.0,0.686966038,1.0,0.0,0.299157923,1.2247718490000001,1.0,1,1,0.0,0.0,2.31,7,1,0.83,577210,1.0,1,1,0.0,1,7000,1,1,1,0,584210,129190,10.39594396,26,3,6.263401097999999,2.290755865,0.828313752,7,2.292155218,1,0.8400594709999999,2.116204662,32,10.36535336,4,6.696209659,0.7819089029999999,6.919010759,26,2,5.227682105
extension-enforcement/extension-enforcement_non-strict_stb_200_0.1_2_10_1.wcnf.gz,0.639719626,0.899674185,0.674349125,1.0,0.0,0.209527358,1.056103663,0.899674185,1,0,0.300433929,0.325798272,2.74,201,2,7.12,148390,1.0,1,1,0.0,1,39900,1,1,1,0,188290,76190,105.55112220000001,968,2,108.3295886,0.9380210940000001,1.069453853,201,2.371342079,1,6.3574444560000005,0.25002931300000003,780,5.860349127,2,38.70852070000001,0.998990918,5.359102244,779,2,38.68648489
